475_T16,lime juice
476_T11,sugar
476_T12,champagne
476_T13,lemon juice
476_T15,vanilla extract
476_T16,strawberry
477_T8,butter
477_T9,mayonnaise
477_T12,bread
477_T15,cheddar
478_T4,egg
478_T8,almonds
478_T10,caster sugar
478_T11,almond
479_T14,mexican chocolate
479_T16,chocolate
479_T17,cinnamon
479_T18,sugar
479_T19,milk
479_T22,salt
479_T23,vanilla
479_T25,cinnamon
480_T10,sausage
480_T11,cheddar cheese
480_T13,baking mix
480_T14,milk
480_T15,eggs
481_T10,pecorino romano
481_T11,parmigiano reggiano
481_T12,pepper
481_T14,olive oil
481_T15,butter
481_T17,ramen
482_T6,sugar
482_T7,hot dogs
482_T9,bacon
483_T7,Sure Jell Premium Fruit Pectin
483_T14,strawberries
483_T16,lemon juice
483_T18,water
483_T21,jelly
483_T24,cane sugar
484_T16,ketchup
484_T18,beef
484_T19,salsa
484_T21,onion
484_T23,egg
484_T25,soy sauce
484_T26,salt
484_T27,pepper
484_T28,Quaker Oats
484_T30,Worcestershire sauce
485_T19,cheddar cheese
485_T20,milk
485_T22,bushes baked beans
485_T23,hot dogs
485_T24,cornbread mix
485_T27,eggs
485_T30,corn
486_T17,plain greek yogurt
486_T5,maple syrup
486_T8,blackberries
486_T11,eggs
487_T12,sage leaf
487_T14,sugar
487_T16,water
487_T17,sage whole leaves
487_T19,gin
487_T20,grapefruit juice
488_T12,cilantro
488_T13,tomatillos
488_T15,garlic
488_T16,jalapeno
488_T18,lime
488_T19,sugar
488_T20,balsamic vinaigrette
489_T7,peaches
489_T8,sugar
489_T9,water
489_T11,water
490_T12,balsamic vinegar
490_T14,garlic
490_T17,hot pepper oil
490_T19,asparagus
490_T21,kosher salt
490_T23,pepper
491_T7,Italian vermouth
491_T8,campari
491_T9,soda water
491_T12,orange
492_T7,cheese
492_T9,American cheese
492_T11,butter
492_T15,bread
493_T12,onion
493_T14,pinto beans
493_T15,salt
493_T16,barbecue sauce
493_T17,molasses
493_T20,ketchup
494_T14,onion
494_T16,walnuts
494_T19,broccoli
494_T20,empire apples or
494_T21,cortland apples
494_T23,raisins
494_T25,vanilla yogurt
494_T26,lettuce
495_T15,pepper
495_T16,cayenne
495_T17,cinnamon
495_T18,salt
495_T19,olive oil
495_T22,potatoes
496_T6,baking potatoes
496_T12,soured cream
496_T13,wafer
496_T16,cheddar cheese
496_T19,chives
497_T11,olive oil
497_T12,salt
497_T13,pepper
497_T14,russet potatoes
497_T5,cheddar
497_T18,bacon
497_T19,scallions
498_T8,eggs
498_T9,baking powder
498_T10,zucchini
498_T12,pepper
498_T13,olive oil
498_T14,kosher salt
498_T15,whole wheat flour
499_T14,chicken
499_T16,peas and carrots
499_T18,milk
499_T20,mushroom soup (condensed creamy chicken)
499_T21,bisquick
499_T22,milk
499_T23,paprika
500_T12,coconut
500_T14,sugar
500_T16,egg
500_T3,vanilla
500_T18,salt
501_T12,pecans
501_T14,almonds
501_T15,pineapple
501_T21,coconut flakes
501_T23,salt
501_T26,coconut oil
502_T12,mint
502_T14,raw sugar
502_T16,lime juice
502_T17,water
502_T19,simple syrup
502_T20,club soda
503_T5,tomatoes
503_T6,mushroom
503_T9,mangoes
503_T11,salt
503_T13,cooking oil
504_T15,cinnamon
504_T17,sugar
504_T19,biscuits
504_T20,butter
504_T22,sugar
504_T26,biscuits
505_T13,parmesan cheese
505_T14,salt
505_T15,garlic powder
505_T16,potato
505_T9,sprays cooking spray
506_T19,rice
506_T22,chicken
506_T24,barbecue sauce
506_T25,oatmeal
506_T27,oatmeal, with flax seed and wheat bran combination
506_T28,sea salt
506_T29,garlic powder
506_T30,pepper
507_T12,sugar
507_T14,eggs
507_T15,egg
507_T20,coffee granules
507_T21,milk
507_T23,milk
508_T14,lemon juice
508_T15,Worcestershire sauce
508_T16,Old Bay Seasoning
508_T19,onion
508_T20,mayonnaise
508_T22,celery
508_T25,shrimp
509_T12,pineapple
509_T16,berry cranberry sauce
509_T19,horseradish
510_T11,potatoes
510_T13,apple
510_T15,butter
510_T17,sugar
510_T19,cinnamon
511_T16,olive oil
511_T17,sirloin steak
511_T9,broccoli florets
511_T22,water
511_T25,a
511_T26,soy sauce
511_T27,lipton recip secret onion mushroom soup mix
512_T10,milk
512_T11,eggs
512_T12,butter
512_T13,salt
512_T14,pepper
512_T15,panko breadcrumbs
512_T17,parsley
513_T9,eggs
513_T10,lemon
513_T12,rice
513_T13,orzo pasta
513_T14,chicken broth
514_T11,almond butter
514_T13,potato
514_T16,banana
514_T18,almond
514_T22,blueberry
514_T23,honey
515_T12,cacao powder
515_T14,coconut palm sugar
515_T16,eggs
515_T18,coconut oil
515_T19,vanilla
515_T20,salt
516_T9,soda water
516_T11,lime
516_T13,lime
516_T16,agave nectar
516_T17,honey
516_T19,rum
516_T22,sprig mint
516_T23,sprig mint
517_T8,bacon
517_T9,collard greens
517_T10,onion
517_T11,apple cider vinegar
517_T12,salt
517_T13,pepper
518_T21,food coloring
518_T22,skim milk
518_T25,Cool Whip Free
518_T28,regular Cool Whip
518_T31,butterscotch pudding mix
518_T9,skim milk
518_T33,food coloring
518_T35,almond milk
518_T37,vanilla pudding mix
518_T38,almond milk
519_T9,flank steak
519_T10,onion soup mix
519_T13,tomato soup
519_T14,cream of mushroom soup
520_T4,strawberries
520_T6,baking chips
520_T7,sprinkles
521_T14,sour cream
521_T15,mayonnaise
521_T19,cabbage
521_T20,cod
521_T21,firm white fish fillets
521_T22,soft taco-size corn tortillas
521_T24,baja chipotle marinade with lime juice
522_T14,egg
522_T17,eggs
522_T18,sugar
522_T19,vanilla
522_T22,milk
522_T24,cream cheese
522_T26,milk
523_T11,canola oil
523_T14,shallots
523_T7,cornstarch
523_T16,buttermilk
523_T17,kosher salt
523_T20,kosher salt
524_T17,butter
524_T19,sugar
524_T20,salt
524_T21,chocolate chips
524_T22,pecans
524_T27,chocolate
525_T15,pizza crust
525_T17,butter
525_T19,provolone cheese
525_T20,parmesan cheese
525_T23,basil
525_T24,garlic salt
526_T16,cottage cheese
526_T18,mozzarella cheese
526_T20,parmesan cheese
526_T22,pepper
526_T23,marinara sauce
526_T24,tomato sauce
526_T14,matzoh
527_T11,sour cream
527_T13,lemon cake mix
527_T14,lemon pudding
527_T16,oil
527_T17,eggs
527_T18,lemon juice
527_T19,lemon
528_T13,almond extract
528_T14,rice cereal
528_T15,sugar
528_T16,sprinkles
528_T19,chocolate
528_T20,coconut oil
529_T1,feta cheese
529_T2,hot dogs
529_T3,hot dog buns
529_T4,tomato
529_T6,black olives
529_T8,onion
529_T10,tzatziki sauce
529_T11,Greek olive dressing
530_T8,olive oil
530_T10,thyme
530_T12,rosemary
530_T13,sea salt
530_T15,pepper
530_T17,baby new potatoes
530_T22,fingerling
531_T11,coffee powder
531_T14,heavy cream
531_T15,heavy cream
531_T17,cashew nuts
531_T20,coffee powder
531_T22,cashew nuts
532_T10,basil pesto
532_T11,mayonnaise
532_T13,French baguette
532_T16,garlic
532_T18,salt
532_T21,Parmesan cheese
533_T6,tomatoes
533_T9,pesto
533_T10,cucumbers
533_T12,mozzarella ball
534_T8,marshmallow
534_T9,cookie dough
534_T10,graham cracker
535_T6,avocado
535_T8,potato
535_T9,salt
535_T10,pepper
535_T13,corn salsa
535_T16,sauce
536_T7,salt
536_T8,coconut
536_T10,cocoa powder
536_T12,cocoa powder
537_T13,cranberries
537_T15,mascarpone cheese
537_T16,orange zest
537_T17,orange liqueur
537_T19,orange juice
537_T21,strawberries
538_T9,lemon juice
538_T10,vodka
538_T11,ouzo
538_T12,orange juice
539_T8,ketchup
539_T10,diet cola
539_T12,chicken
540_T12,turmeric
540_T13,onion
540_T16,beef
540_T6,salt
540_T19,pepper
540_T20,tomatoes
541_T2,pepper
541_T3,salt
541_T6,tomato
541_T8,bacon drippings
541_T9,cornmeal
542_T8,grape jelly
542_T9,peanut butter
542_T11,bread
543_T13,water
543_T14,chicken broth
543_T15,garlic powder
543_T16,grits
543_T17,cheddar cheese
543_T18,butter
544_T12,Bourbon
544_T13,soy sauce
544_T15,garlic
544_T18,ginger
544_T19,water
544_T20,steak
545_T13,chocolate
545_T14,peanut butter
545_T15,rice cereal
545_T17,sugar
545_T18,peanut butter chocolate candy
546_T16,milk
546_T20,dulce de leche
546_T22,coconut
546_T24,wafer cookies
546_T25,chocolate wafers
547_T11,chicken
547_T13,lemons
547_T14,garlic
547_T17,olive oil
547_T18,salt
547_T19,pepper
547_T21,basil
547_T25,basil
548_T15,honey
548_T16,almond butter
548_T17,pumpkin seeds
548_T19,fruit
548_T20,sunflower seeds
548_T27,salt
548_T28,rolled oats
549_T7,olive oil
549_T9,garlic
549_T11,t
549_T14,baguette
550_T9,water
550_T11,rice
550_T12,salt
550_T13,olive oil
551_T10,cooking oil
551_T11,egg
551_T12,milk
551_T13,Bisquick
551_T15,chocolate chip
552_T13,bacon
552_T14,butter
552_T16,onion
552_T20,clam juice
552_T23,clams
552_T25,russet potatoes
552_T8,half-and-half
553_T7,oats
553_T8,dates
553_T10,coconut
554_T9,onion
554_T11,bacon strips
554_T16,cabbage
554_T18,sugar
554_T20,salt
554_T21,pepper
554_T25,i
555_T8,salsa
555_T9,jalapenos
555_T12,corn
555_T13,beans
555_T15,beef
555_T17,potato
555_T19,taco seasoning
556_T14,cheese
556_T13,cream of chicken soup
556_T18,tomatoes and green chilies
556_T19,chicken
556_T23,vermicelli
557_T15,vegetable oil
557_T18,roasted garlic and herb seasoning
557_T19,beef round steak
557_T12,flank steaks
557_T20,olive oil
557_T22,French onion soup mix
557_T17,red wine vinegar
558_T14,water
558_T15,vanilla
558_T16,milk
558_T18,cocoa
558_T21,margarine
559_T12,sugar
559_T13,water
559_T14,lime zest
559_T8,lime juice
559_T16,strawberries
560_T13,onions
560_T16,beef broth
560_T18,double chocolate stout beer
560_T20,Guinness
560_T23,onion
560_T25,corned beef brisket
561_T11,margarine
561_T12,milk
561_T13,garlic salt
561_T14,water
561_T15,potato flakes
562_T2,beans
562_T3,canning salt
563_T8,orange juice
563_T9,cranberry juice
563_T11,grenadine
563_T12,pineapple juice
564_T14,chili powder
564_T15,onion powder
564_T17,mustard
564_T16,cumin
564_T19,bbq sauce
564_T23,Meijer Light Brown Sugar
564_T25,pork
565_T6,Italian dressing
565_T8,chicken
565_T11,mozzarella garlic bread
566_T7,egg
566_T8,milk
566_T10,cheddar cheese
566_T12,waffles
566_T13,salt
566_T14,pepper
566_T17,sausage patty
567_T12,coleslaw mix
567_T13,cooking spray
567_T16,cilantro
567_T18,onions
567_T20,hoisin sauce
567_T21,egg roll wrappers
567_T24,pork
568_T7,strawberries
568_T8,mango juice
568_T9,champagne
569_T10,bananas
569_T13,pineapple
569_T16,vanilla pudding
569_T18,cool whip
569_T19,pecans
570_T14,coconut milk
570_T15,pancake mix
570_T16,mixed berries
570_T17,banana
570_T18,oats
570_T19,flaxseed meal
570_T20,coconut oil
571_T9,cointreau
571_T10,vodka
571_T11,liqueur
571_T13,cranberry juice
572_T14,onion
572_T15,beef flavor instant bouillon
572_T16,steak sauce
572_T17,milk
572_T20,beef
572_T21,unbleached flour
572_T23,flour all purpose
573_T5,chicken
573_T7,heavy cream
573_T9,salsa
574_T11,walnuts
574_T14,beets
574_T19,garlic
574_T20,salt
574_T21,pepper
574_T24,mayonnaise
575_T10,butter
575_T12,sandwich buns
575_T14,lemon pepper
575_T16,pork
576_T8,chicken
576_T12,olive oil
576_T13,soy sauce
576_T14,cola soda
576_T15,scallion
577_T14,water
577_T17,yeast active quick-rise
577_T18,salt
577_T19,sugar
577_T21,canola oil
577_T22,water
577_T25,all purpose flour
578_T14,cocoa powder
578_T15,vanilla extract
578_T17,hazelnuts
578_T20,coconut milk
578_T25,coconut milk
578_T27,chocolate 72% cacao or higher
578_T29,cacao
579_T10,apricot jam
579_T11,dijon style mustard
579_T12,cider vinegar
579_T14,ham
580_T13,water
580_T15,sugar
580_T18,onion soup mix
580_T20,sauerkraut
581_T13,half-and-half
581_T15,coconut milk
581_T16,coconut flavoring
581_T17,sugar
581_T18,cherries
581_T20,pineapple
582_T16,heavy cream
582_T17,sugar
582_T18,peanut butter
582_T19,milk
582_T20,vanilla
582_T21,peanut butter cups
582_T25,peanut butter
583_T11,tomatoes
583_T7,pie crust
583_T13,chives, basil
583_T14,mayonnaise
583_T16,salt
583_T17,pepper
583_T19,cheddar cheese
584_T12,sour cream
584_T13,potatoes
584_T16,bacon
584_T19,cheddar cheese
584_T22,onions
585_T11,cranberries
585_T12,apples
585_T13,water
585_T16,cinnamon
585_T17,grapeseed oil
586_T14,onion
586_T17,cucumber
586_T19,watermelon
586_T6,lime
586_T22,feta
586_T23,kosher salt
586_T25,cilantro
586_T26,lemon
587_T8,mint leaves
587_T10,lemon juice
587_T11,ginger
587_T13,watermelon
587_T17,watermelon
588_T15,heavy cream
588_T17,butter
588_T19,popcorn
588_T20,marshmallows
588_T22,chocolate
588_T25,sugar
589_T10,agave tequila
589_T12,orange liqueur
589_T15,limes
589_T16,lemon
589_T9,agave nectar
589_T19,nectarine juice
589_T20,satsuma juice
590_T14,vanilla extract
590_T16,egg
590_T19,butter
590_T21,salt
590_T22,jam
591_T5,avocado
591_T7,bread
591_T8,cherry tomatoes
591_T10,egg
592_T3,onion
592_T4,garlic powder
592_T6,roast beef
593_T11,strawberries
593_T15,vanilla
593_T13,almonds
593_T17,cream cheese
593_T18,confectioners' sugar
594_T3,carrots
594_T6,cabbage
594_T7,olive oil
594_T8,vinegar
594_T9,lemon juice
594_T10,salt
594_T11,pepper
595_T9,chocolate
595_T11,butter
595_T12,water
595_T15,sugar
596_T6,soy sauce
596_T7,Italian dressing
596_T9,chicken
596_T13,onion powder
596_T14,garlic powder
596_T15,salt
597_T11,ginger
597_T13,jalapenos
597_T14,peaches
597_T18,sugar
597_T20,cinnamon
597_T21,lemon juice
598_T12,hot dog buns
598_T13,hot dogs
598_T15,pinto beans
598_T18,hormel chili
598_T19,onion
598_T21,cheese
599_T15,ginger
599_T19,pepper
599_T20,shallots
599_T24,chili pepper
599_T26,sugar
599_T27,fish sauce
599_T30,snapper fillets
599_T31,catfish
